FRAGRANCE,RATING,SEASON,BOTTLE/SAMPLE
D&G The One,10/10,Fall/Winter,Bottle
Versace Dreamer,8/10,Spring/Fall,Bottle
Lattafa Asad,7/10,Fall/Winter,Bottle
Armaf Tres Nuit Lyric,8/10,All,Bottle
Maison Alhambra Salvo Intense,7/10,All,Bottle
D&G Pour Homme,8/10,Fall/Spring,Bottle
Davidoff Cool Water,7/10,Spring/Summer,Bottle
Lalique Encore Noir,7/10,Fall/Winter/Spring,Bottle
Ameer al Oud Intense,6/10,Winter,Bottle
Maison Alhambra Amber & Leather,7/10,Fall/Winter,Bottle
Victoria Secret Very Sexy for him Platinum,8/10,All,Bottle
Lattafa Ramz,8/10,All,Bottle
Detour Noir ,8/10,Fall/Winter,Bottle
Stronger With  You EDT,8/10,Winter,Sample
212 VIP for Men,7/10,Fall/Spring,Sample
Burberry London,9/10,Fall/Winter,Sample
Bentley Intense ,9/10,Winter,Sample
Polo Sport,8/10,Spring/Summer,Sample
212 NYC for Men,7/10,Fall/Spring,Sample
Oud for Glory,6/10,Winter,Sample
Khamrah Quahwa,8/10,Winter,Sample
Khamrah ,8/10,Winter,Sample
Bvlgari Wood Essence,8/10,Fall/Winter/Spring,Sample
Verseace Eros,8/10,All,Sample
By the Fireplace,8/10,Winter,Sample
Cocktail Intense,9/10,Winter,Sample
Calvin Klein Obesssion,7/10,Winter,Sample
Issey Miyake L'Eau D'issey,7/10,Spring/Summer,Sample
Afnan 9pm,8/10,All,Sample
Ombre Leather,7/10,Fall/Winter,Sample
Albane Noble Imperial,10/10,Fall/Winter/Spring,Bottle
Salvatore Ferragamo Subtil,8/10,Summer,Bottle
B&BW Mahogany Teakwood,7/10,Fall/Winter/Spring,Bottle
Versace Pour Man,8/10,Spring/Summer,Sample
Moschino Toy Boy,9/10,Fall/Winter/Spring,Sample
Calvin Klein Free,5/10,Spring/Summer,Bottle
Montblanc Explorer,7/10,All,Bottle
